Date,Team,PTS,Opp,PTS
Sat Oct 7 2023,Lavrio Megabolt,98,AEK Athens,93
Sat Oct 7 2023,Promitheas Patras,95,PAOK mateco,80
Sat Oct 7 2023,Peristeri bwin,93,Kolossos H Hotels,104
Sun Oct 8 2023,Olympiacos,81,Aris Midea,72
Mon Oct 9 2023,ASK Karditsas Iaponiki,71,Apollon Patras Carna,72
Mon Oct 9 2023,Maroussi,71,Panathinaikos,82
Sat Oct 14 2023,Aris Midea,77,Apollon Patras Carna,70
Sat Oct 14 2023,PAOK mateco,80,Maroussi,75
Sat Oct 14 2023,Panathinaikos,66,Peristeri bwin,64
Sun Oct 15 2023,AEK Athens,71,Olympiacos,79
Sun Oct 15 2023,ASK Karditsas Iaponiki,75,Promitheas Patras,87
Mon Oct 16 2023,Kolossos H Hotels,76,Lavrio Megabolt,79
Sat Oct 21 2023,Apollon Patras Carna,70,AEK Athens,100
Sat Oct 21 2023,Peristeri bwin,64,PAOK mateco,69
Sun Oct 22 2023,ASK Karditsas Iaponiki,61,Aris Midea,69
Sun Oct 22 2023,Olympiacos,102,Kolossos H Hotels,59
Mon Oct 23 2023,Lavrio Megabolt,75,Panathinaikos,111
Mon Oct 23 2023,Maroussi,92,Promitheas Patras,111
Sat Oct 28 2023,Kolossos H Hotels,87,Apollon Patras Carna,69
Sat Oct 28 2023,Promitheas Patras,71,Peristeri bwin,76
Sat Oct 28 2023,ASK Karditsas Iaponiki,88,Maroussi,94
Sun Oct 29 2023,AEK Athens,64,Aris Midea,75
Sun Oct 29 2023,PAOK mateco,76,Lavrio Megabolt,86
Mon Oct 30 2023,Panathinaikos,66,Olympiacos,54
Sat Nov 4 2023,ASK Karditsas Iaponiki,88,AEK Athens,103
Sat Nov 4 2023,Peristeri bwin,103,Maroussi,74
Sat Nov 4 2023,Aris Midea,88,Kolossos H Hotels,78
Sun Nov 5 2023,Olympiacos,77,PAOK mateco,63
Sun Nov 5 2023,Lavrio Megabolt,73,Promitheas Patras,100
Mon Nov 6 2023,Apollon Patras Carna,60,Panathinaikos,112
Mon Nov 6 2023,PAOK mateco,,Apollon Patras Carna,
Mon Nov 6 2023,Promitheas Patras,,Olympiacos,
Sat Nov 11 2023,Kolossos H Hotels,,AEK Athens,
Sat Nov 11 2023,PAOK mateco,67,Apollon Patras Carna,54
Sat Nov 11 2023,Maroussi,,Lavrio Megabolt,
Sat Nov 11 2023,Promitheas Patras,75,Olympiacos,92
Sun Nov 12 2023,Panathinaikos,75,Aris Midea,65
Sun Nov 12 2023,ASK Karditsas Iaponiki,48,Peristeri bwin,77
Mon Nov 13 2023,Kolossos H Hotels,74,AEK Athens,93
Mon Nov 13 2023,Maroussi,93,Lavrio Megabolt,88
Sat Nov 18 2023,AEK Athens,,Panathinaikos,
Sat Nov 18 2023,Aris Midea,76,PAOK mateco,82
Sat Nov 18 2023,Lavrio Megabolt,87,Peristeri bwin,89
Sun Nov 19 2023,Olympiacos,111,Maroussi,83
Sun Nov 19 2023,Apollon Patras Carna,68,Promitheas Patras,106
Sun Nov 19 2023,ASK Karditsas Iaponiki,67,Kolossos H Hotels,73
Mon Nov 20 2023,AEK Athens,85,Panathinaikos,86
Sat Nov 25 2023,PAOK mateco,70,AEK Athens,90
Sat Nov 25 2023,Promitheas Patras,77,Aris Midea,73
Sat Nov 25 2023,Peristeri bwin,,Olympiacos,
Sun Nov 26 2023,Maroussi,75,Apollon Patras Carna,69
Sun Nov 26 2023,Lavrio Megabolt,68,ASK Karditsas Iaponiki,84
Sun Nov 26 2023,Panathinaikos,81,Kolossos H Hotels,78
Mon Nov 27 2023,Lavrio Megabolt,,ASK Karditsas Iaponiki,
Mon Nov 27 2023,Peristeri bwin,74,Olympiacos,87
Sat Dec 2 2023,Olympiacos,96,Lavrio Megabolt,54
Sat Dec 2 2023,ASK Karditsas Iaponiki,53,Panathinaikos,77
Sat Dec 2 2023,AEK Athens,95,Promitheas Patras,100
Sun Dec 3 2023,Aris Midea,89,Maroussi,84
Sun Dec 3 2023,Apollon Patras Carna,57,Peristeri bwin,90
Mon Dec 4 2023,Kolossos H Hotels,81,PAOK mateco,93
Sat Dec 9 2023,Maroussi,89,AEK Athens,91
Sat Dec 9 2023,Lavrio Megabolt,60,Apollon Patras Carna,71
Sat Dec 9 2023,Promitheas Patras,109,Kolossos H Hotels,114
Sun Dec 10 2023,Peristeri bwin,73,Aris Midea,81
Sun Dec 10 2023,PAOK mateco,85,Panathinaikos,97
Mon Dec 11 2023,Olympiacos,83,ASK Karditsas Iaponiki,54
Sat Dec 23 2023,Aris Midea,86,Lavrio Megabolt,91
Sat Dec 23 2023,Kolossos H Hotels,74,Maroussi,85
Sat Dec 23 2023,ASK Karditsas Iaponiki,69,PAOK mateco,72
Sun Dec 24 2023,Apollon Patras Carna,65,Olympiacos,84
Sun Dec 24 2023,AEK Athens,78,Peristeri bwin,89
Sun Dec 24 2023,Panathinaikos,69,Promitheas Patras,54
Sat Dec 30 2023,Apollon Patras Carna,74,ASK Karditsas Iaponiki,76
Sat Dec 30 2023,AEK Athens,90,Lavrio Megabolt,75
Sat Dec 30 2023,Kolossos H Hotels,77,Peristeri bwin,89
Sat Dec 30 2023,PAOK mateco,73,Promitheas Patras,80
Sun Dec 31 2023,Panathinaikos,92,Maroussi,79
Sun Dec 31 2023,Aris Midea,71,Olympiacos,85
Sat Jan 6 2024,Promitheas Patras,72,ASK Karditsas Iaponiki,101
Sat Jan 6 2024,Apollon Patras Carna,63,Aris Midea,76
Sat Jan 6 2024,Maroussi,85,PAOK mateco,79
Sat Jan 6 2024,ASK Karditsas Iaponiki,,Promitheas Patras,
Sun Jan 7 2024,Olympiacos,92,AEK Athens,80
Sun Jan 7 2024,Peristeri bwin,75,Panathinaikos,90
Sun Jan 7 2024,Lavrio Megabolt,73,Kolossos H Hotels,88
Sat Jan 13 2024,AEK Athens,74,Apollon Patras Carna,83
Sat Jan 13 2024,Promitheas Patras,95,Maroussi,70
Sat Jan 13 2024,PAOK mateco,35,Peristeri bwin,71
Sun Jan 14 2024,Aris Midea,71,ASK Karditsas Iaponiki,80
Sun Jan 14 2024,Panathinaikos,92,Lavrio Megabolt,76
Mon Jan 15 2024,Kolossos H Hotels,52,Olympiacos,71
Sat Jan 20 2024,Aris Midea,93,AEK Athens,91
Sat Jan 20 2024,Peristeri bwin,81,Promitheas Patras,75
Sun Jan 21 2024,Maroussi,84,ASK Karditsas Iaponiki,87
Sun Jan 21 2024,Lavrio Megabolt,65,PAOK mateco,66
Sun Jan 21 2024,Apollon Patras Carna,60,Kolossos H Hotels,88
Mon Jan 22 2024,Olympiacos,80,Panathinaikos,85
Sat Jan 27 2024,AEK Athens,95,ASK Karditsas Iaponiki,86
Sat Jan 27 2024,Promitheas Patras,84,Lavrio Megabolt,89
Sat Jan 27 2024,PAOK mateco,62,Olympiacos,77
Sat Jan 27 2024,Maroussi,72,Peristeri bwin,95
Sun Jan 28 2024,Panathinaikos,87,Apollon Patras Carna,55
Sun Jan 28 2024,Kolossos H Hotels,91,Aris Midea,98
Sat Feb 3 2024,Lavrio Megabolt,,Maroussi,
Sat Feb 3 2024,Apollon Patras Carna,70,PAOK mateco,85
Sat Feb 3 2024,AEK Athens,,Kolossos H Hotels,
Sat Feb 3 2024,AEK Athens,80,Kolossos H Hotels,103
Sun Feb 4 2024,Peristeri bwin,95,ASK Karditsas Iaponiki,84
Sun Feb 4 2024,Olympiacos,81,Promitheas Patras,57
Mon Feb 5 2024,Aris Midea,73,Panathinaikos,70
Mon Feb 5 2024,Lavrio Megabolt,75,Maroussi,71
Sat Feb 10 2024,Promitheas Patras,84,Apollon Patras Carna,56
Sat Feb 10 2024,Kolossos H Hotels,69,ASK Karditsas Iaponiki,87
Sun Feb 11 2024,PAOK mateco,63,Aris Midea,77
Sun Feb 11 2024,Peristeri bwin,86,Lavrio Megabolt,64
Sun Feb 11 2024,Maroussi,87,Olympiacos,93
Mon Feb 12 2024,Panathinaikos,89,AEK Athens,69
Sat Mar 2 2024,ASK Karditsas Iaponiki,57,Lavrio Megabolt,76
Sat Mar 2 2024,AEK Athens,94,PAOK mateco,85
Sat Mar 2 2024,Aris Midea,57,Promitheas Patras,70
Sun Mar 3 2024,Kolossos H Hotels,73,Panathinaikos,96
Mon Mar 4 2024,Apollon Patras Carna,73,Maroussi,99
Mon Mar 4 2024,Olympiacos,85,Peristeri bwin,67
Sat Mar 9 2024,Promitheas Patras,91,AEK Athens,87
Sat Mar 9 2024,Peristeri bwin,74,Apollon Patras Carna,63
Sat Mar 9 2024,Lavrio Megabolt,63,Olympiacos,84
Sun Mar 10 2024,Maroussi,73,Aris Midea,67
Sun Mar 10 2024,Panathinaikos,87,ASK Karditsas Iaponiki,64
Sun Mar 10 2024,PAOK mateco,79,Kolossos H Hotels,95
Sat Mar 16 2024,AEK Athens,90,Maroussi,82
Sat Mar 16 2024,ASK Karditsas Iaponiki,73,Olympiacos,85
Sat Mar 16 2024,Aris Midea,62,Peristeri bwin,84
Sat Mar 16 2024,Kolossos H Hotels,79,Promitheas Patras,84
Sun Mar 17 2024,Apollon Patras Carna,75,Lavrio Megabolt,82
Sun Mar 17 2024,Panathinaikos,89,PAOK mateco,73
Sat Mar 23 2024,Peristeri bwin,101,AEK Athens,97
Sat Mar 23 2024,Lavrio Megabolt,60,Aris Midea,84
Sun Mar 24 2024,Olympiacos,93,Apollon Patras Carna,63
Sun Mar 24 2024,PAOK mateco,78,ASK Karditsas Iaponiki,97
Sun Mar 24 2024,Maroussi,85,Kolossos H Hotels,89
Mon Mar 25 2024,Promitheas Patras,62,Panathinaikos,93
Sat Mar 30 2024,Kolossos H Hotels,90,Peristeri bwin,98
Sun Mar 31 2024,Aris Midea,77,Olympiacos,85
Sun Mar 31 2024,Promitheas Patras,,Panathinaikos,
Sun Apr 7 2024,Peristeri bwin,83,Olympiacos,91
Sun Apr 7 2024,Aris Midea,51,Promitheas Patras,84
Mon Apr 8 2024,Panathinaikos,79,Kolossos H Hotels,74
Sat Apr 13 2024,Aris Midea,82,Peristeri bwin,75
Sat Apr 13 2024,Kolossos H Hotels,73,Promitheas Patras,96
Mon Apr 15 2024,Olympiacos,71,Panathinaikos,77
Thu Apr 18 2024,Promitheas Patras,69,Olympiacos,80
Fri Apr 19 2024,Peristeri bwin,88,Panathinaikos,93
Sat Apr 20 2024,Kolossos H Hotels,69,Aris Midea,60
Tue Apr 30 2024,Panathinaikos,,Aris Midea,
Tue Apr 30 2024,Promitheas Patras,,Peristeri bwin,
Tue Apr 30 2024,Olympiacos,,Kolossos H Hotels,
Fri May 10 2024,Promitheas Patras,82,Panathinaikos,90
Sun May 12 2024,Promitheas Patras,94,Peristeri bwin,92
Sun May 12 2024,Olympiacos,100,Kolossos H Hotels,66
Mon May 13 2024,Panathinaikos,80,Aris Midea,68
